URLs,Price,#Ratings
https://www.amazon.co.uk/Bluetooth-Headphones-Earphones-Reduction-Waterproof/product-reviews/B098QSLZNQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,26,980 ratings
https://www.amazon.co.uk/Earphones-Blukar-Headphones-Sensitivity-Microphone-Black/product-reviews/B0B277Z8VY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,"1,081 ratings"
https://www.amazon.co.uk/Wireless-Headphones-Bluetooth-Over-Ear-Microphone-Black/product-reviews/B09TVHSVMR/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,18,650 ratings
https://www.amazon.co.uk/WorWoder-Headphones-Bluetooth-Lightweight-BLACK-RED/product-reviews/B08KRMRHSH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,23,"5,866 ratings"
https://www.amazon.co.uk/Betron-GLD100-Earphones-Headphones-Definition-Black-Without-Remote/product-reviews/B078T2NTJ8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,,989 ratings
https://www.amazon.co.uk/Headphones-DyBaxa-Foldable-Adjustable-Headband-Sky-Blue/product-reviews/B09QC7G1V6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,15,356 ratings
https://www.amazon.co.uk/Dascert-Headphones-Canceling-Bluetooth-Waterproof/product-reviews/B09GPKX5SN/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,29,"17,280 ratings"
https://www.amazon.co.uk/DOQAUS-Headphones-Bluetooth-Headphoneswith-Microphone-Black/product-reviews/B0B1J29N2Q/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,27,151 ratings
https://www.amazon.co.uk/Panasonic-RB-M700BE-C-Wireless-Headphones-Cancelling-Cream/product-reviews/B088PGSLQ7/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,107,94 ratings
https://www.amazon.co.uk/Headphones-Bluetooth-Headband-Headphone-Meditating-black/product-reviews/B0BLRN4YSB/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,30,221 ratings
https://www.amazon.co.uk/RockPapa-Headphones-Earphones-Computer-SmartPhone-Blue-White/product-reviews/B0144WJVEA/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,13,"9,850 ratings"
https://www.amazon.co.uk/Certified-Earphones-Headphones-Isolating-Compatible-whiteTT/product-reviews/B0BQJ7JWXD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,9,"2,670 ratings"
https://www.amazon.co.uk/Razer-Blackshark-V2-headphones-reduction-Black/product-reviews/B089SSFV85/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,42,"6,335 ratings"
https://www.amazon.co.uk/SPECTA-Earphones-Headphones-Microphone-Sound-Dynamic/product-reviews/B08MZHLH71/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,11,"4,461 ratings"
https://www.amazon.co.uk/Stealth-C6-300-Gaming-Headset-Xbox/product-reviews/B08P3XQNW4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,21,200 ratings
https://www.amazon.co.uk/Earphones-CBGGQ-Headphones-Microphone-Smartphones-4-pairs-color/product-reviews/B07XRXSWQ6/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,8,"8,163 ratings"
https://www.amazon.co.uk/Eono-bluetooth-earphones-Waterproof-Headphones-White/product-reviews/B0882S5QNK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,22,"3,668 ratings"
https://www.amazon.co.uk/Headphone-Detachable-Noise-Isolating-Musicians-Sweatproof-Black/product-reviews/B07T4J4VV4/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,18,858 ratings
